name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Saygın Baklava & Dondurma,,"Göksu, 679. Sk. No:73, 35380 Buca/İzmir",,,"5,0",1 Google yorumu,Tatlıcı,,,,12:00–00:00 12:00–00:00 12:00–00:00Saatler değişebilir 12:00–00:00 12:00–00:00 12:00–00:00 12:00–00:00 ,,,,,,Kapalı,
Eroğlu Dondurma & Tatlı,,"Mevlana, 1727. Sk. 37/a, 35050 Bornova/İzmir",,,,,Dondurma dükkanı,,,,,,,,,,,
Eco Cafe Battalbey Waffle ve Dondurma,,0532 373 07 55,"Gazi Osman Paşa, 5457. Sk. No:7/A, 35090 Bornova/İzmir",,"5,0",3 Google yorumu,Kafe,,,,,,,,,,,
Yunus Dondurma,,0507 473 51 51,"Postacılar, 7368/1. Sk. No: 30B, 35520 Bayraklı/İzmir",,"4,8",16 Google yorumu,Dondurma dükkanı,,,,09:00–02:00 09:00–02:00 09:00–02:00Saatler değişebilir 09:00–02:00 09:00–02:00 09:00–02:00 09:00–02:00 ,,,,,,Açık,
Mado,https://mado.com.tr/,(0232) 478 31 65,"Kemalpaşa Mahallesi Pınar Cad, 7098. Sk. No:1, 35060 Bornova",₺₺₺,"4,1",10 Google yorumu,Dondurma dükkanı,,₺₺₺,,10:00–22:00 10:00–22:00 10:00–22:00Saatler değişebilir 10:00–22:00 10:00–22:00 11:00–20:00 10:00–22:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14b96353d0a3dbe9:0x89374c26da663f93?sa=X
Uğur Pastanesi Lokma Ve Dondurma,,"Efeler, Barbaros Hayrettin Paşa Cd. 110 B, 35380 Buca Osb/Buca/İzmir",,,"1,0",1 Google yorumu,Pastane,,,,08:00–23:00 08:00–23:00 08:00–23:00Saatler değişebilir 08:00–23:00 08:00–23:00 08:00–23:00 08:00–23:00 ,,,,,,Açık,
Sultan Baklava,,"Bostanlı, Cemal Gürsel Cd. 75-2 A, 35590 Karşıyaka/İzmir",,,"4,7",21 Google yorumu,Restoran,,,,,,,,,,,
Natürel maraş Baklava Dondurma Ve Unlu Mamüller,https://naturel-maras-baklava-dondurma-ve-unlu-mamuller.business.site/,0542 670 26 35,"Yeşil, Abdülhamit Yavuz Cd. 2 A, 35410 Gaziemir/İzmir",,,,Tatlı Dükkanı,,,,07:00–22:00 07:00–22:00 07:00–22:00Saatler değişebilir 07:00–22:00 07:00–22:00 11:00–20:00 07:00–22:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdfd4afe70b0d:0x7d928b6f9fb22f88?sa=X
Hitit Baklava,https://menuburada.com/hitit-baklava-atakent-izmir/,"Yalı, Caher Dudayev Blv No:95, 35550 Aosb/Karşıyaka/İzmir",,,"3,7",18 Google yorumu,Dondurma dükkanı,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd9f123f47bdf:0xfc21bb57efca1e4f?sa=X
Fame Chocolate,http://www.famechocolate.com/,0535 437 19 81,"Beyazevler, Optimum Avm, Akçay Cd. No:101, 35410 Gaziemir/İzmir",,"4,5",2 Google yorumu,Dondurma dükkanı,,,,10:00–22:00 10:00–22:00 10:00–22:00Saatler değişebilir 10:00–22:00 10:00–22:00 10:00–22:00 10:00–22:00 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdfb12d99cacb:0x3ee8bc99108ac1d0?sa=X
